Title	Creator	Description	Date	Subject	Keywords	Relation	Contributing Institution	Publisher Digital	Digital Collection Website	Source	Identifier	Publisher	Format Original	Type	Format	Digitization Specifications	Rights	Language	Date Digital	Coverage	Latitude	Longitude	Full text	Filename	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Dworshak Dam Project 137 (diversion tunnel)	Curtis, A.B. Orofino	Photograph showing the digging machine, and operator in the diversion tunnel.  This machine just about crawled through the mountain drilling and blasting.	1965	Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Dworshak Dam (Idaho);	Dworshak Dam Project; 1965; diversion tunnel; diggin machine	PG 13	University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections	University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/	http://www.lib.uidaho.edu/digital/dworshak/	PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	13-03702		black and white photograph	Image;StillImage	image/jpg	JPEG displayed. Individual images saved as 800 dpi TIFFs for archival purposes.	Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho	eng	2011	Dworshak Dam (Idaho)						2011-03-16	2015-08-27	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/630	630	631.jp2	/dworshak/image/631.jp2
Dworshak Dam Project 138 (diversion tunnel)	Curtis, A.B. Orofino	Photograph of the finished entrance to the diversion tunnel.	1965	Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Dworshak Dam (Idaho);	Dworshak Dam Project; 1965; diversion tunnel; finish machine	PG 13	University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections	University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/	http://www.lib.uidaho.edu/digital/dworshak/	PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	13-03703		black and white photograph	Image;StillImage	image/jpg	JPEG displayed. Individual images saved as 800 dpi TIFFs for archival purposes.	Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho	eng	2011	Dworshak Dam (Idaho)						2011-03-16	2015-08-27	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/631	631	632.jp2	/dworshak/image/632.jp2
Dworshak Dam Project 139 (diversion tunnel)	Curtis, A.B. Orofino	Photograph of the ""Finish Machine"" in the diversion tunnel.  It is round and pushes through the tunnel to do the polish and finish work.  The tunnel is 40' in diameter.	1965	Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Dworshak Dam (Idaho);	Dworshak Dam Project; 1965; diversion tunnel; entrance	PG 13	University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections	University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/	http://www.lib.uidaho.edu/digital/dworshak/	PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	13-03704		black and white photograph	Image;StillImage	image/jpg	JPEG displayed. Individual images saved as 800 dpi TIFFs for archival purposes.	Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho	eng	2011	Dworshak Dam (Idaho)						2011-03-16	2015-08-27	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/632	632	633.jp2	/dworshak/image/633.jp2
Dworshak Dam Project 140 (clearing operations)	Curtis, A.B. Orofino	Photograph of clearing operations.	1966	Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Dworshak Dam (Idaho);	Dworshak Dam Project; 1966; clearing operations	PG 13	University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections	University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/	http://www.lib.uidaho.edu/digital/dworshak/	PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	13-03717		black and white photograph	Image;StillImage	image/jpg	JPEG displayed. Individual images saved as 800 dpi TIFFs for archival purposes.	Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho	eng	2011	Dworshak Dam (Idaho)						2011-03-16	2015-08-27	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/633	633	634.jp2	/dworshak/image/634.jp2
Dworshak Dam Project 142 (clearing operations)	Curtis, A.B. Orofino	Photograph of the clearing operations showing the mouth of the diversion tunnel.	1965	Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Dworshak Dam (Idaho);	Dworshak Dam Project; 1965; clearing operations; diversion tunnel	PG 13	University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections	University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/	http://www.lib.uidaho.edu/digital/dworshak/	PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	13-03719		black and white photograph	Image;StillImage	image/jpg	JPEG displayed. Individual images saved as 800 dpi TIFFs for archival purposes.	Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho	eng	2011	Dworshak Dam (Idaho)						2011-03-16	2015-08-27	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/634	634	635.jp2	/dworshak/image/635.jp2
Dworshak Dam Project 143 (clearing operations)	Curtis, A.B. Orofino	Photograph of the clearing operations showing the mouth of the diversion tunnel.	1965	Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Dworshak Dam (Idaho);	Dworshak Dam Project; 1965; clearing operations; diversion tunnel	PG 13	University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections	University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/	http://www.lib.uidaho.edu/digital/dworshak/	PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	13-03720		black and white photograph	Image;StillImage	image/jpg	JPEG displayed. Individual images saved as 800 dpi TIFFs for archival purposes.	Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho	eng	2011	Dworshak Dam (Idaho)						2011-03-16	2015-08-27	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/635	635	636.jp2	/dworshak/image/636.jp2
Dworshak Dam Project 144 (site)	Curtis, A.B. Orofino	Photograph taken with a wide-angle lense at the site.	1966	Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Dworshak Dam (Idaho);	Dworshak Dam Project; 1966; Site	PG 13	University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections	University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/	http://www.lib.uidaho.edu/digital/dworshak/	PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	13-03721		black and white photograph	Image;StillImage	image/jpg	JPEG displayed. Individual images saved as 800 dpi TIFFs for archival purposes.	Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho	eng	2011	Dworshak Dam (Idaho)	46.515758	-116.298196				2011-03-16	2015-08-27	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/636	636	637.jp2	/dworshak/image/637.jp2
Dworshak Dam Project 145 (clearing operations)	Curtis, A.B. Orofino	Photograph taken with telephoto lens, clearing operations at the site.	1966	Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Dworshak Dam (Idaho);	Dworshak Dam Project; 1966; clearing operations	PG 13	University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections	University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/	http://www.lib.uidaho.edu/digital/dworshak/	PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	13-03722		black and white photograph	Image;StillImage	image/jpg	JPEG displayed. Individual images saved as 800 dpi TIFFs for archival purposes.	Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho	eng	2011	Dworshak Dam (Idaho)						2011-03-16	2015-08-27	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/637	637	638.jp2	/dworshak/image/638.jp2
Dworshak Dam Project 141 (clearing operations)	Curtis, A.B. Orofino	Photograph of clearing operations.	1965	Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Dworshak Dam (Idaho);	Dworshak Dam Project; 1965; clearing operations	PG 13	University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections	University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/	http://www.lib.uidaho.edu/digital/dworshak/	PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	13-03718		black and white photograph	Image;StillImage	image/jpg	JPEG displayed. Individual images saved as 800 dpi TIFFs for archival purposes.	Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho	eng	2011	Dworshak Dam (Idaho)						2011-03-16	2015-08-27	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/638	638	639.jp2	/dworshak/image/639.jp2
Dworshak Dam Project 147 (upstream)	Curtis, A.B. Orofino	Photograph of upstream.	1965	Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Dworshak Dam (Idaho);	Dworshak Dam Project; 1965; upstream	PG 13	University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections	University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/	http://www.lib.uidaho.edu/digital/dworshak/	PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	13-03724		black and white photograph	Image;StillImage	image/jpg	JPEG displayed. Individual images saved as 800 dpi TIFFs for archival purposes.	Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho	eng	2011	Dworshak Dam (Idaho)						2011-03-16	2015-08-27	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/639	639	640.jp2	/dworshak/image/640.jp2
Dworshak Dam Project 146 (diversion tunnel)	Curtis, A.B. Orofino	Photograph of the site and lower end of the diversion tunnel.	1965	Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Dworshak Dam (Idaho);	Dworshak Dam Project; 1965; Site; diversion tunnel	PG 13	University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections	University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/	http://www.lib.uidaho.edu/digital/dworshak/	PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	13-03723		black and white photograph	Image;StillImage	image/jpg	JPEG displayed. Individual images saved as 800 dpi TIFFs for archival purposes.	Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho	eng	2011	Dworshak Dam (Idaho)						2011-03-16	2015-08-27	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/640	640	641.jp2	/dworshak/image/641.jp2
Dworshak Dam Project 148 (diversion tunnel)	Curtis, A.B. Orofino	Photograph of the lower end of diversion tunnel and fish trap area.	1965	Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Dworshak Dam (Idaho);	Dworshak Dam Project; 1965; fish trap; diversion tunnel	PG 13	University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections	University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/	http://www.lib.uidaho.edu/digital/dworshak/	PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	13-03725		black and white photograph	Image;StillImage	image/jpg	JPEG displayed. Individual images saved as 800 dpi TIFFs for archival purposes.	Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho	eng	2011	Dworshak Dam (Idaho)						2011-03-16	2015-08-27	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/641	641	642.jp2	/dworshak/image/642.jp2
Dworshak Dam Project 149 (diversion tunnel)	Curtis, A.B. Orofino	Photograph looking straight at the lower end of diversion tunnel.  The floating logs come through the 40' bore.	1966	Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Dworshak Dam (Idaho);	Dworshak Dam Project; 1966; diversion tunnel; logs	PG 13	University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections	University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/	http://www.lib.uidaho.edu/digital/dworshak/	PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	13-03726		black and white photograph	Image;StillImage	image/jpg	JPEG displayed. Individual images saved as 800 dpi TIFFs for archival purposes.	Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho	eng	2011	Dworshak Dam (Idaho)						2011-03-16	2015-08-27	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/642	642	643.jp2	/dworshak/image/643.jp2
Dworshak Dam Project 150 (diversion tunnel)	Curtis, A.B. Orofino	Photograph of the lower end of the diversion tunnel.	1965	Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Dworshak Dam (Idaho);	Dworshak Dam Project; 1965; diversion tunnel	PG 13	University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections	University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/	http://www.lib.uidaho.edu/digital/dworshak/	PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	13-03727		black and white photograph	Image;StillImage	image/jpg	JPEG displayed. Individual images saved as 800 dpi TIFFs for archival purposes.	Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho	eng	2011	Dworshak Dam (Idaho)						2011-03-16	2015-08-27	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/643	643	644.jp2	/dworshak/image/644.jp2
Dworshak Dam Project 3 (Mr. Curtis' Suggestion)		Mr. Curtis' markings as a suggestion that did not work.	1965	Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Dworshak Dam (Idaho);	Dworshak Dam Project; 1965; Curtis	PG 13	University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections	University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/	http://www.lib.uidaho.edu/digital/dworshak/	PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	13-00696		black and white photograph	Image;StillImage	image/jpg	JPEG displayed. Individual images saved as 800 dpi TIFFs for archival purposes.	Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho	eng	2011	Dworshak Dam (Idaho)	46.515758	-116.298196				2011-03-16	2015-08-27	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/644	644	645.jp2	/dworshak/image/645.jp2
Dworshak Dam Project 152 (dam site)	Curtis, A.B. Orofino	Photograph of a view of the dam site in 1966.	1966	Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Dworshak Dam (Idaho);	Dworshak Dam Project; 1966; dam site	PG 13	University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections	University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/	http://www.lib.uidaho.edu/digital/dworshak/	PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	13-03729		color photograph	Image;StillImage	image/jpg	JPEG displayed. Individual images saved as 800 dpi TIFFs for archival purposes.	Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho	eng	2011	Dworshak Dam (Idaho)	46.515758	-116.298196				2011-03-16	2015-08-27	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/645	645	646.jp2	/dworshak/image/646.jp2
Dworshak Dam Project 153 (draw down)	Curtis, A.B. Orofino	Photograph showing that the trees that were mature in the draw down area were cut very close to the ground.  This is good practice.  All the wood is good.	1966	Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Dworshak Dam (Idaho);	Dworshak Dam Project; trees; land clearing	PG 13	University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections	University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/	http://www.lib.uidaho.edu/digital/dworshak/	PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	13-03838		black and white photograph	Image;StillImage	image/jpg	JPEG displayed. Individual images saved as 800 dpi TIFFs for archival purposes.	Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho	eng	2011	Dworshak Dam (Idaho)						2011-03-16	2015-08-27	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/646	646	647.jp2	/dworshak/image/647.jp2
Dworshak Dam Project 151 (diversion tunnel)	Curtis, A.B. Orofino	Photograph of the lower end of the diversion tunnel.	1966	Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Dworshak Dam (Idaho);	Dworshak Dam Project; 1966; diversion tunnel	PG 13	University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections	University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/	http://www.lib.uidaho.edu/digital/dworshak/	PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	13-03728		black and white photograph	Image;StillImage	image/jpg	JPEG displayed. Individual images saved as 800 dpi TIFFs for archival purposes.	Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho	eng	2011	Dworshak Dam (Idaho)						2011-03-16	2015-08-27	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/647	647	648.jp2	/dworshak/image/648.jp2
Dworshak Dam Project 154 (land clearing)	Curtis, A.B. Orofino	Photograph of land clearing.	1966	Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Dworshak Dam (Idaho);	Dworshak Dam Project; trees; land clearing	PG 13	University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections	University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/	http://www.lib.uidaho.edu/digital/dworshak/	PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	13-03839		black and white photograph	Image;StillImage	image/jpg	JPEG displayed. Individual images saved as 800 dpi TIFFs for archival purposes.	Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho	eng	2011	Dworshak Dam (Idaho)						2011-03-16	2015-08-27	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/648	648	649.jp2	/dworshak/image/649.jp2
Dworshak Dam Project 155 (land clearing project)	Curtis, A.B. Orofino	Photograph showing Milton O Koppang and Ralph Space look st tree cut at ground level in land clearing project.	1966	Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Dworshak Dam (Idaho);	Dworshak Dam Project; trees; land clearing; Milton O Koppang; Ralph Space	PG 13	University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections	University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/	http://www.lib.uidaho.edu/digital/dworshak/	PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	13-03840		black and white photograph	Image;StillImage	image/jpg	JPEG displayed. Individual images saved as 800 dpi TIFFs for archival purposes.	Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho	eng	2011	Dworshak Dam (Idaho)						2011-03-16	2015-08-27	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/649	649	650.jp2	/dworshak/image/650.jp2
Dworshak Dam Project 156 (land clearing project)	Curtis, A.B. Orofino	Photograph showing trees in draw down area are cut very close to the ground.	1966	Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Dworshak Dam (Idaho);	Dworshak Dam Project; trees; land clearing	PG 13	University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections	University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/	http://www.lib.uidaho.edu/digital/dworshak/	PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	13-03841		black and white photograph	Image;StillImage	image/jpg	JPEG displayed. Individual images saved as 800 dpi TIFFs for archival purposes.	Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho	eng	2011	Dworshak Dam (Idaho)						2011-03-16	2015-08-27	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/650	650	651.jp2	/dworshak/image/651.jp2
Dworshak Dam Project 157	Curtis, A.B. Orofino	Photograph showing clearing operations.	1966	Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Dworshak Dam (Idaho);	Dworshak Dam Project; trees; land clearing	PG 13	University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections	University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/	http://www.lib.uidaho.edu/digital/dworshak/	PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	13-03846		black and white photograph	Image;StillImage	image/jpg	JPEG displayed. Individual images saved as 800 dpi TIFFs for archival purposes.	Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho	eng	2011	Dworshak Dam (Idaho)						2011-03-16	2015-08-27	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/651	651	652.jp2	/dworshak/image/652.jp2
Dworshak Dam Project 158 (land clearing project)	Curtis, A.B. Orofino	Photograph showing land clearing.  Note dozer pushing trees over.	1966	Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Dworshak Dam (Idaho);	Dworshak Dam Project; 1966; trees; land clearing; dozer	PG 13	University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections	University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/	http://www.lib.uidaho.edu/digital/dworshak/	PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	13-03849		black and white photograph	Image;StillImage	image/jpg	JPEG displayed. Individual images saved as 800 dpi TIFFs for archival purposes.	Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho	eng	2011	Dworshak Dam (Idaho)						2011-03-16	2015-08-27	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/652	652	653.jp2	/dworshak/image/653.jp2
Dworshak Dam Project 159	Curtis, A.B. Orofino	Photograph showing land clearing.	1966	Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Dworshak Dam (Idaho);	Dworshak Dam Project; 1966; trees; land clearing	PG 13	University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections	University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/	http://www.lib.uidaho.edu/digital/dworshak/	PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	13-03850		black and white photograph	Image;StillImage	image/jpg	JPEG displayed. Individual images saved as 800 dpi TIFFs for archival purposes.	Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho	eng	2011	Dworshak Dam (Idaho)						2011-03-16	2015-08-27	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/653	653	654.jp2	/dworshak/image/654.jp2
Dworshak Dam Project 160 (land clearing project)	Curtis, A.B. Orofino	Photograph of the land clearing near Big Riffle on North Fork of Clearwater River.	1966	Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Dworshak Dam (Idaho);	Dworshak Dam Project; trees; land clearing; Big Riffle; Clearwater River	PG 13	University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections	University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/	http://www.lib.uidaho.edu/digital/dworshak/	PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	13-03851		black and white photograph	Image;StillImage	image/jpg	JPEG displayed. Individual images saved as 800 dpi TIFFs for archival purposes.	Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho	eng	2011	Dworshak Dam (Idaho)						2011-03-16	2015-08-27	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/654	654	655.jp2	/dworshak/image/655.jp2
Dworshak Dam Project 161 (land clearing project)	Curtis, A.B. Orofino	Photograph showing the land clearing and slash is windrowed.  Not the log piles ready for burning.	1966	Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Dworshak Dam (Idaho);	Dworshak Dam Project; 1966; trees; land clearing; log piles	PG 13	University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections	University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/	http://www.lib.uidaho.edu/digital/dworshak/	PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	13-03854		black and white photograph	Image;StillImage	image/jpg	JPEG displayed. Individual images saved as 800 dpi TIFFs for archival purposes.	Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho	eng	2011	Dworshak Dam (Idaho)						2011-03-16	2015-08-27	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/655	655	656.jp2	/dworshak/image/656.jp2
Dworshak Dam Project 162 (Coffer dam)	Curtis, A.B. Orofino	Photograph showing the building of the Coffer dam.	1966	Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Dworshak Dam (Idaho);	Dworshak Dam Project; 1966; coffer dam; truck	PG 13	University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections	University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/	http://www.lib.uidaho.edu/digital/dworshak/	PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/	13-03868		black and white photograph	Image;StillImage	image/jpg	JPEG displayed. Individual images saved as 800 dpi TIFFs for archival purposes.	Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho	eng	2011	Dworshak Dam (Idaho)						2011-03-16	2015-08-27	http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/656	656	657.jp2	/dworshak/image/657.jp2
